偉峰診所,07-2820396,高雄市新興區林森一路126號一樓
藍茂盛診所,072372345,高雄市新興區六合一路１３０之1號
歐興昌診所,072813299,高雄市新興區民生一路３４９號
謝德利診所,072413308,高雄市新興區林森一路１５８號
東生診所,072263216,高雄市新興區五福一路８６號
文信診所,072850119,高雄市新興區南台路68-1號一樓
維德診所,072357070,高雄市新興區七賢一路４５７號一樓
趙俊彥診所,07-2243193,高雄市新興區民生一路十八號一樓二樓
翎麗診所,07-2210618,高雄市新興區文橫二路125號1樓2樓
幸生診所,07-2151357,高雄市新興區民生一路240號一樓
高安診所,07-2727662,高雄市新興區中山一路59號1樓
靚世紀診所,07-2362226,高雄市新興區中山一路162號
洪洲群皮膚科診所,07-2228883,高雄市新興區青年一路146號1樓
嚴翔勇診所,07-2818620,高雄市新興區大同一路198-2號1-2樓
愛理國際診所,07-2810111,高雄市新興區五福二路39號一樓
賀田診所,07-2355916,高雄市新興區林森一路189號一樓
柯偉恭診所,07-2261359,高雄市新興區民族二路102-9號一樓
韓風診所,07-2818777,高雄市新興區五福二路213號2樓
青欣診所,07-2254800,高雄市新興區中正二路212號1樓
錦英診所,07-2316428,高雄市新興區中山一路101號一樓
喜洋洋心靈診所,07-2213924,高雄市新興區文橫二路169號2樓
光晴診所,07-2260591,高雄市新興區開封路31號1樓
立人健康診所,07-2811668,高雄市新興區大同一路200號3樓
美博仕診所,07-2365565,高雄市新興區八德一路309號一樓
晶緻美學診所,07-2010538,高雄市新興區中山一路6-17號一-二樓
愛汝診所,07-2242525,高雄市新興區五福一路140號1樓
詹昌明診所,07-2353853,高雄市新興區仁愛一街234號一樓
高欣診所,07-2266893,高雄市新興區復興一路44號2樓3樓
蘇育材內兒科診所,072874706,高雄市新興區南台路５９號
李建山外兒科診所,072712292,高雄市新興區中正四路６９號
紀耳鼻喉科診所,072719087,高雄市新興區林森一路１５４－１號
文彬內兒科診所,072269090,高雄市新興區五福二路７２號
蘇信福診所,072379119,高雄市新興區林森一路２７４號
愛心內兒科診所,072017680,高雄市新興區仁愛二街８號
展華內兒科診所,072386222,高雄市新興區八德一路１８２號
明恩耳鼻喉科診所,072388272,高雄市新興區六合一路46號
李內兒科診所,072388011,高雄市新興區七賢一路２０２號
邱弘璨皮膚科診所,072225085,高雄市新興區六合路183號2樓
王育彥耳鼻喉科診所,072352268,高雄市新興區七賢一路４７６號
毛重富耳鼻喉科診所,072350168,高雄市新興區復興一路８７之１號
南和診所,072722217,高雄市新興區南台路３７之２號
謝前亮診所,072259763,高雄市新興區六合路１９０號一樓
蘇素環神經科診所,072366661,高雄市新興區忠孝一路５０８號一樓
七賢診所,072887338,高雄市新興區七賢二路８９號一之三樓
朱冠州皮膚科診所,07-2821162,高雄市新興區五福二路二三八號一樓
蘇榮茂診所,07-2231243,高雄市新興區民族二路76號一至四樓
信恩診所,07-2384119,高雄市新興區六合一路90-1號一樓
文中皮膚科診所,07-2271309,高雄市新興區五福二路68號一樓二樓
林哲雄診所,072615514,高雄市新興區忠孝一路９５號
瑞益內兒科診所,072312901,高雄市新興區復興二路１０7號一樓
葉英鏘診所,072387871,高雄市新興區洛陽街１號
敏吉內兒科診所,072219155,高雄市新興區五福二路４１－３號
黃耳鼻喉科診所,072510207,高雄市新興區復興二路２４１號
弘安診所,072373787,高雄市新興區民族二路１１７號
瑞泰內兒科診所,072415276,高雄市新興區林森一路１７８－１號
李耳鼻喉科診所,072910694,高雄市新興區林森二路２３３號
清水診所,072210976,高雄市新興區林森一路１０７－１號
家佳診所,07-2234383,高雄市新興區和平一路193號一樓二樓
蔡瑞聲診所,07-2413388,高雄市新興區中正三路六十三號一樓及夾層
增田診所,07-2363128,高雄市新興區八德一路一五五至一五七號一樓
健和診所,07-2513388,高雄市新興區青年一路278號一至四樓
沁田診所,07-2156293,高雄市新興區忠孝一路125號1樓
蘇鉉釗耳鼻喉科診所,07-2379119,高雄市新興區林森一路274、276號1-2樓
厚生診所,07-2295759,高雄市新興區五福一路164號一樓
維格皮膚科診所,07-2291237,高雄市新興區五福一路120號一樓及夾層
阮綜合醫療社團法人上順診所,07-2725227,高雄市前金區市中一路225號3樓
蔡景福內兒科診所,072811221,高雄市前金區自強一路１８３－３號一樓
陳福壽內兒科診所,072918727,高雄市前金區大同一路２２４號一樓
李鈺錫內兒科診所,072215290,高雄市前金區前金一街１４號一樓
福嶽皮膚科診所,072210500,高雄市前金區中正四路７９－１號一；二樓
重康內兒科診所,072611336,高雄市前金區七賢二路３０５號一樓
蔡國晉家庭醫學科診所,07-2858371,高雄市前金區瑞源路１８９號一樓
呂永全家庭醫學科診所,072823739,高雄市前金區長生街３３號一樓
吳志明耳鼻喉科診所,07-2862846,高雄市前金區中正四路88號1~2樓
王榮華診所,072728781,高雄市前金區中正四路１８２－１號一樓
余國榮耳鼻咽喉科診所,072167126,高雄市前金區中華三路227號一樓
文宏耳鼻喉科診所,07-2415831,高雄市前金區自強二路20號一樓
宏祐診所,07-2411999,高雄市前金區中華三路121號壹樓
嘉醫診所,07-2411866,高雄市前金區中華三路86號壹樓
麗晶診所,07-2014567,高雄市前金區五福三路六十三號三樓
好生診所,2867000,高雄市前金區七賢二路183號1至4樓
黃鵬國診所,07-2869599,高雄市前金區中華三路１５２號一樓
大明診所,072413103,高雄市前金區新田路２２０號一樓
王銘燦皮膚科診所,72618500,高雄市前金區民生二路129號1樓
薛強文皮膚科診所,2419826,高雄市前金區中華三路80號1-2樓
啟安診所,07-2310964,高雄市前金區光復二街82號
德和診所,07-2515106,高雄市前金區自強一路18號壹樓
首席萊茵診所,07-2111156,高雄市前金區河東路8號4樓之2
五福診所,07-2213933,高雄市前金區中華四路318號1至4樓
日月星診所,07-2311236,高雄市前金區七賢二路376號1樓
誠心診所,07-2111529,高雄市前金區中華三路139號1樓
痔安診所,07-2862724,高雄市前金區自立二路69號1樓
君綺診所,07-2216033,高雄市前金區中華四路321號2至3樓
吉田耳鼻喉科診所,07-2113167,高雄市前金區自強一路63號1至2樓及地下1樓
杏安家庭醫學科診所,07-2822272,高雄市前金區中正四路81之1號1樓
許耳鼻喉科診所,073340225,高雄市苓雅區復興二路７１號
芳生內兒科診所,07-7616363,高雄市苓雅區河北路154號
黃小兒科診所,07-3345482,高雄市苓雅區學源街４１號
胡忠義內小兒科診所,07-7714853,高雄市苓雅區英明路５２號
陳世琛小兒科診所,07-7235923,高雄市苓雅區青年一路１－１８號
