"NAME","SERVICE_DESC","CONT1","CONT2","CONT3","CONT4","CONT5","CONT6","E","EURL"
" 新北市政府辦理原住民修建自用住宅補助","服務說明：至戶籍所在區公所辦理申請,並填寫申請書及切結書表
申請對象：設籍本市年滿二十歲為房屋所有權人之原住民（屋齡在10年以上之合法房屋)","主辦單位：原住民族行政局社會福利科
承辦人員：白雪芬
聯絡電話：02-29603456#3963
Email：AQ3172@ms.ntpc.gov.tw","申請人應自行檢附之文件：
ㄧ、修建項目施工前照片。
二、新北市政府○○○年度辦理原住民修建自用住宅補助申請書。
三、切結書。","申請人親自或郵寄戶籍所在地之區公所辦理","直接撥付帳戶(發文告知)","區公所初審15天
原住民行政局複審15天
共30天","1.繳付與否：免費申請
2.每項補助其工程材料費為2萬元,每戶最多補助三項且以一次為限。
3.依本要點申請補助,經本府複審合格後,按區公所受理日之順序核發,至當年度預算用罄為止。","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=003004"
" 新北市政府辦理原住民修建自用住宅補助","服務說明：至戶籍所在區公所辦理申請,並填寫申請書及切結書表
申請對象：設籍本市年滿二十歲為房屋所有權人之原住民（屋齡在10年以上之合法房屋)","主辦單位：原住民族行政局社會福利科
承辦人員：白雪芬
聯絡電話：02-29603456#3963
Email：AQ3172@ms.ntpc.gov.tw","申請人應自行檢附之文件：
ㄧ、修建項目施工前照片。
二、新北市政府○○○年度辦理原住民修建自用住宅補助申請書。
三、切結書。","申請人親自或郵寄戶籍所在地之區公所辦理","直接撥付帳戶(發文告知)","區公所初審15天
原住民行政局複審15天
共30天","1.繳付與否：免費申請
2.每項補助其工程材料費為2萬元,每戶最多補助三項且以一次為限。
3.依本要點申請補助,經本府複審合格後,按區公所受理日之順序核發,至當年度預算用罄為止。","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=003004"
"「新北i-Safe好家在」居家安全整合服務","案件說明：藉由居家安全防火宣導訪視之推動，提高民眾對於日常生活中火災危險因子之注意，診斷民眾用電安全、瓦斯安全、防火常識、家庭避難逃生等安全注意事項，以提高民眾之防火意識。
一、受理項目：
1.用火用電安全診斷。                   
2.避難逃生知識宣導。
3.住宅火災警報器安裝宣導。
4.防範CO中毒環境診斷。  
5.熱水器安裝補助宣導。 
6.CO探測器宣導安裝。
7.CPR+哈姆立克教。
8.AED操作教學。
9.消防行動App應用服務網安裝及消防發爾麵FB推廣。","主辦單位：消防局火災預防科
承辦人：朱芳儀隊員
聯絡電話：(02)89519119分機6135
傳真電話：(02)89536015","申請人應自行檢附之文件：
備妥及填妥新北市政府消防局 「新北i-Safe好家在」居家安全整合服務申請表【(民)表一】。

","一、申請書送至鄰近分隊或是本局(新北市板橋區南雅南路2段15號1樓火災預防科)。
二、申請書傳真至本局。
三、線上申辦：可於新北市政府消防局網頁，網址: http://www.fire.ntpc.gov.tw/下
方點選「線上申辦」方塊-網路e櫃檯-點選消防局-項次10「新北i-Safe好  家在」居家安全整合服務-點選線上申辦後直接填寫申請書並線上送出。","","3天","請申請人於預定訪視日期5日前填寫本申請表完畢後將本表逕送至最近之消防分隊，俾利本局安排人員執行居家訪視工作。","1","http://civic.ntpc.gov.tw/DocLibCivic/DA_06_EService.aspx?docid=&suid=012017"
"「新北i-Safe好家在」居家安全整合服務","案件說明：藉由居家安全防火宣導訪視之推動，提高民眾對於日常生活中火災危險因子之注意，診斷民眾用電安全、瓦斯安全、防火常識、家庭避難逃生等安全注意事項，以提高民眾之防火意識。
一、受理項目：
1.用火用電安全診斷。                   
2.避難逃生知識宣導。
3.住宅火災警報器安裝宣導。
4.防範CO中毒環境診斷。  
5.熱水器安裝補助宣導。 
6.CO探測器宣導安裝。
7.CPR+哈姆立克教。
8.AED操作教學。
9.消防行動App應用服務網安裝及消防發爾麵FB推廣。","主辦單位：消防局火災預防科
承辦人：朱芳儀隊員
聯絡電話：(02)89519119分機6135
傳真電話：(02)89536015","申請人應自行檢附之文件：
備妥及填妥新北市政府消防局 「新北i-Safe好家在」居家安全整合服務申請表【(民)表一】。

","一、申請書送至鄰近分隊或是本局(新北市板橋區南雅南路2段15號1樓火災預防科)。
二、申請書傳真至本局。
三、線上申辦：可於新北市政府消防局網頁，網址: http://www.fire.ntpc.gov.tw/下
方點選「線上申辦」方塊-網路e櫃檯-點選消防局-項次10「新北i-Safe好  家在」居家安全整合服務-點選線上申辦後直接填寫申請書並線上送出。","","3天","請申請人於預定訪視日期5日前填寫本申請表完畢後將本表逕送至最近之消防分隊，俾利本局安排人員執行居家訪視工作。","1","http://civic.ntpc.gov.tw/DocLibCivic/DA_06_EService.aspx?docid=&suid=012017"
"「新北i-Safe好家在」居家安全整合服務","申辦案件：「新北i-Safe好家在」居家安全整合服務
申請對象：本市市民
一、用電安全：
（一）電器設備安全使用之須知
（二）電氣火災處置。
二、瓦斯使用安全：
（一）瓦斯造成火災之原因
（二）一氧化碳中毒之原因
三、避難逃生須知：
（一）居家避難逃生設備使用 
（二）居家逃生動線演練
（三）避難逃生要領指導
四、防災意外須知：
（一）居家環境消防安全指導
（二）指導簡易消防滅火設備使用","主辦單位：消防局火災預防科
承辦人：朱芳儀隊員
聯絡電話：(02)89519119分機6135
傳真電話：(02)89536015","申請人應自行檢附之文件：
*備妥及填妥新北市政府消防局 「新北i-Safe好家在」居家安全整合服務申請表【(民)表一】。","一、申請書送至鄰近分隊或是本局(新北市板橋區南雅南路2段15號1樓火災預防科)。
二、申請書傳真至本局。
三、線上申辦。","","3天","","1","http://civic.ntpc.gov.tw/DocLibCivic/DA_06_EService.aspx?docid=&suid=012017"
"「新北i-Safe好家在」居家安全整合服務","案件說明：藉由居家安全防火宣導訪視之推動，提高民眾對於日常生活中火災危險因子之注意，診斷民眾用電安全、瓦斯安全、防火常識、家庭避難逃生等安全注意事項，以提高民眾之防火意識。
一、受理項目：
1.用火用電安全診斷。                   
2.避難逃生知識宣導。
3.住宅火災警報器安裝宣導。
4.防範CO中毒環境診斷。  
5.熱水器安裝補助宣導。 
6.CO探測器宣導安裝。
7.CPR+哈姆立克教。
8.AED操作教學。
9.消防行動App應用服務網安裝及消防發爾麵FB推廣。","主辦單位：消防局火災預防科
承辦人：朱芳儀隊員
聯絡電話：(02)89519119分機6135
傳真電話：(02)89536015","申請人應自行檢附之文件：
備妥及填妥新北市政府消防局 「新北i-Safe好家在」居家安全整合服務申請表【(民)表一】。","一、申請書送至鄰近分隊或是本局(新北市板橋區南雅南路2段15號1樓火災預防科)。
二、申請書傳真至本局。
三、線上申辦。","","3天","請申請人於預定訪視日期5日前填寫本申請表完畢後將本表逕送至最近之消防分隊，俾利本局安排人員執行居家訪視工作。","1","http://civic.ntpc.gov.tw/DocLibCivic/DA_06_EService.aspx?docid=&suid=012017"
"5歲幼兒免學費及經濟弱勢加額補助","落實政府免學費教育政策，具體減輕家長育兒負擔，5歲幼兒免學費教育計畫比照國中小學生就學免繳學費概念，提供5歲幼兒免學費之學前教育，至低收入、中低收入及家戶年所得新臺幣70萬元以下經濟弱勢家庭，再加額補助其他就學費用，提升5歲幼兒就學機會。","教育局幼兒教育科","申請人應自行檢附之文件：
5歲幼兒免學費教育計畫「經濟弱勢加額補助」申請表(依各學期公告)","由幼兒就讀之幼兒園向本局提出申請","依公告辦理期程臨櫃審查","45天","1.申請時間：每半年申請1次，每年3月及9月(申請時間期間依公告規定為準)。
2.核定後1個月內撥款。","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=007091"
"65歲以上未滿70歲中低收入老人全民健康保險自付保險費補助","一、服務說明：符合本府辦理六十五歲以上未滿七十歲中低收入老人參加全民健康保險自付保險費補助要點規定者。
本府補助之健保自付保險費，每人每月最高額度以不超過全民健康保險第六類地區人口所應繳納保險費（新臺幣749元）之自付額為限。
二、申請對象：設籍並實際居住本市且參加全民健康保險之年滿六十五歲以上未滿七十歲之中低收入老人，無下列情形之一者，得享有補助全民健康保險自付保險費：
(一)依全民健康保險法無須自付保險費者。
(二)健保自付保險費已由國軍退除役官兵輔導委員會支付者。
(三)符合其他健保費用補助資格，其保險費已由政府編列預算支付者。
＊依據「老人參加全民健康保險無力負擔費用補助辦法」第五條規定，中低收入年滿七十歲者，其全民健康保險之保險費由中央主管機關全額補助。","主辦單位：社會局老人福利科
承辦人員：李秉霏
聯絡電話：本市境內1999、(02)2960-3456轉3743
傳真：(02)2965-0149","申請人應自行檢附之文件：
一、新北市○○區老人全民健康保險自付保險費核退申請書。
二、申請人國民身分證正背面影本。
三、健保自付保險費繳費證明（保費如係經由金融機構轉帳支付者，應檢具存摺封面及內頁繳款明細影本；如在公司行號或機構團體投保者，應由投保單位出具繳費證明，並加蓋投保單位及負責人印章）。
四、領款收據。
五、申請人郵局存摺封面影本。
六、如係委託他人辦理者，應檢附受委託人之身分證供查核。

系統代為查調，申請人免自行檢附之文件：
一、戶籍資料。
二、健保應自付保險費繳費證明。","1.本補助由中央健康保險署代為辦理，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保署辦理保費減免。
2.符合本要點規定之補助對象，因區公所作業致本局未及申報資料或因資料錯誤致健保署未減免保費者，應至戶籍所在地之區公所申請辦理保險費核退。
＊中低收入年滿七十歲者，依據「老人參加全民健康保險無力負擔費用補助辦法」第六條規定，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保局辦理保費減免，民眾毋需提出申請。","1.申請核退保費者，本府將審查結果通知公所，由各公所轉知民眾。
2.經審查符合核退保費資格者，其核退款項由本府逕撥匯至申請人帳戶。","計15天(含區公所：7天、社會局：8天)，不含退補件天數","","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=022170"
"65歲以上未滿70歲中低收入老人全民健康保險自付保險費補助","一、服務說明：符合本府辦理六十五歲以上未滿七十歲中低收入老人參加全民健康保險自付保險費補助要點規定者。
本府補助之健保自付保險費，每人每月最高額度以不超過全民健康保險第六類地區人口所應繳納保險費（新臺幣749元）之自付額為限。
二、申請對象：設籍並實際居住本市且參加全民健康保險之年滿六十五歲以上未滿七十歲之中低收入老人，無下列情形之一者，得享有補助全民健康保險自付保險費：
(一)依全民健康保險法無須自付保險費者。
(二)健保自付保險費已由國軍退除役官兵輔導委員會支付者。
(三)符合其他健保費用補助資格，其保險費已由政府編列預算支付者。
＊依據「老人參加全民健康保險無力負擔費用補助辦法」第五條規定，中低收入年滿七十歲者，其全民健康保險之保險費由中央主管機關全額補助。","主辦單位：社會局老人福利科
承辦人員：李秉霏
聯絡電話：本市境內1999、(02)2960-3456轉3780
傳真：(02)2965-0149","申請人應自行檢附之文件：
一、新北市○○區老人全民健康保險自付保險費核退申請書。
二、申請人國民身分證正背面影本。
三、健保自付保險費繳費證明（保費如係經由金融機構轉帳支付者，應檢具存摺封面及內頁繳款明細影本；如在公司行號或機構團體投保者，應由投保單位出具繳費證明，並加蓋投保單位及負責人印章）。
四、領款收據。
五、申請人郵局存摺封面影本。
六、如係委託他人辦理者，應檢附受委託人之身分證供查核。

系統代為查調，申請人免自行檢附之文件：
一、戶籍資料。
二、健保應自付保險費繳費證明。","1.本補助由中央健康保險署代為辦理，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保署辦理保費減免。
2.符合本要點規定之補助對象，因區公所作業致本局未及申報資料或因資料錯誤致健保署未減免保費者，應至戶籍所在地之區公所申請辦理保險費核退。
＊中低收入年滿七十歲者，依據「老人參加全民健康保險無力負擔費用補助辦法」第六條規定，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保局辦理保費減免，民眾毋需提出申請。","1.申請核退保費者，本府將審查結果通知公所，由各公所轉知民眾。
2.經審查符合核退保費資格者，其核退款項由本府逕撥匯至申請人帳戶。","計15天(含區公所：7天、社會局：8天)，不含退補件天數","","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=022170"
"65歲以上未滿70歲中低收入老人全民健康保險自付保險費補助","一、服務說明：符合本府辦理六十五歲以上未滿七十歲中低收入老人參加全民健康保險自付保險費補助要點規定者。
本府補助之健保自付保險費，每人每月最高額度以不超過全民健康保險第六類地區人口所應繳納保險費（新臺幣749元）之自付額為限。
二、申請對象：設籍並實際居住本市且參加全民健康保險之年滿六十五歲以上未滿七十歲之中低收入老人，無下列情形之一者，得享有補助全民健康保險自付保險費：
(一)依全民健康保險法無須自付保險費者。
(二)健保自付保險費已由國軍退除役官兵輔導委員會支付者。
(三)符合其他健保費用補助資格，其保險費已由政府編列預算支付者。
＊依據「老人參加全民健康保險無力負擔費用補助辦法」第五條規定，中低收入年滿七十歲者，其全民健康保險之保險費由中央主管機關全額補助。","主辦單位：社會局老人福利科
承辦人員：李秉霏
聯絡電話：本市境內1999、(02)2960-3456轉3780
傳真：(02)2965-0149","申請人應自行檢附之文件：
一、新北市○○區老人全民健康保險自付保險費核退申請書。
二、申請人國民身分證正背面影本。
三、健保自付保險費繳費證明（保費如係經由金融機構轉帳支付者，應檢具存摺封面及內頁繳款明細影本；如在公司行號或機構團體投保者，應由投保單位出具繳費證明，並加蓋投保單位及負責人印章）。
四、領款收據。
五、申請人郵局存摺封面影本。
六、如係委託他人辦理者，應檢附受委託人之身分證供查核。","1.本補助由中央健康保險署代為辦理，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保署辦理保費減免。
2.符合本要點規定之補助對象，因區公所作業致本局未及申報資料或因資料錯誤致健保署未減免保費者，應至戶籍所在地之區公所申請辦理保險費核退。
＊中低收入年滿七十歲者，依據「老人參加全民健康保險無力負擔費用補助辦法」第六條規定，本局於每月五日前，主動將符合補助資格對象之健康保險基本資料，以媒體資料方式傳送健保局辦理保費減免，民眾毋需提出申請。","1.申請核退保費者，本府將審查結果通知公所，由各公所轉知民眾。
2.經審查符合核退保費資格者，其核退款項由本府逕撥匯至申請人帳戶。","計15天(含區公所：7天、社會局：8天)，不含退補件天數","","1","http://e-service.ntpc.gov.tw/hypage.cgi?HYPAGE=download_CIVIC.htm&suid=022170"
